,Lyrics
"""Breathe""",feel magic floating air get way watch sunlight dance across face never swept away thought seem settle breeze lying wrapped arm whole world fade away thing hear beating heart feel breathe washing suddenly melting nothing left prove baby need caught touch slow steady rush baby way love supposed feel breathe breathe way know heart waking wall come tumbling closer ever felt know know need word right might also like feel breathe washing suddenly melting nothing left prove baby need caught touch slow steady rush baby way love supposed feel breathe breathe caught touch slow steady rush baby way love supposed feel breathe breathe feel magic floating air get way 
"""Smooth""",man hot one like seven inch midday sun well hear whisper word melt everyone stay cool equita spanish harlem mona lisa reason reason step groove yeah say life good enough would give world lift could change life better suit mood cause smooth like ocean moon well emotion get got kind lovin smooth gim heart make real else forget well tell one thing would leave cry shame every breath every word hear name callin barrio hear rhythm radio feel turning world soft slow turnin round round might also like say life good enough would give world lift could change life better suit mood cause smooth like ocean moon well emotion get got kind loving smooth yeah gim heart make real else forget yeah like ocean moon well emotion get got kind loving smooth yeah gim heart make real else forget damn else forget else forget let forget gim heart make real else forget hey let forget let forget let forget hey let forget hey hey hey 
"""Maria Maria""",lady gent turn sound system sound carlos santana product ghetto blue refugee camp maria maria remind west side story growing spanish harlem living life like movie star maria maria fell love east sound guitar yeah yeah played carlos santana stop looting stop shooting pickpocketing corner see rich getting richer poor getting poorer see maria corner thinking way make better mailbox eviction letter signed judge said see later yeah might also like ahora vengo mama chula mama chula ahora vengo mama chula east coast ahora vengo mama chula mama chula ahora vengo mama chula west coast maria maria remind west side story growing spanish harlem living life like movie star maria maria fell love east said sound guitar yeah yeah played carlos santana said favela los colores street getting hotter water put fire gota esperanza see maria corner thinking way make better looked sky hoping paradise yeah yeah ahora vengo mama chula mama chula ahora vengo mama chula north side ahora vengo mama chula mama chula ahora vengo mama chula south side ahora vengo mama chula mama chula ahora vengo mama chula worldwide ahora vengo mama chula mama chula ahora vengo mama chula open eye maria know lover wind blow feel weather even apart still feel like together maria yeah remind west side story growing spanish harlem living life like movie star maria maria fell love east sound guitar played carlos santana put carlos santana refugee camp wyclef jerry wonda santana carlos man making guitar cry 
"""I Wanna Know""",yeah yeah alright amazing knock foot every time come around get weak yeah nobody ever made feel way kiss lip take breath away wan know wan know turn yeah like know like know yeah like know make cry one always make smile girl never understood worth hmm never took time make work deserve lovin girl baby kind man show concern yes anyway please let learn wan know might also like wan know turn wan know like know like know make cry one always make smile make smile babe tell got please baby anything say cause wan make happy happy bottom heart true true tell got please please baby anything say girl cause wan make happy bottom heart true true wish could take journey mind alright find emotion always try hide babe believe love wan share take good care lady fear wan know wan know turn wan know like know like know make cry yeah one always make smile ooh tell tell tell got please baby anything say cause wan make happy bottom heart true tell got please baby anything say cause wan make happy bottom heart true yeah yeah wan know turn like know like know yeah wan know like know make cry yeah one always make smile like know wan know wan know turn tell girl 
"""Everything You Want""",somewhere speaking already coming rising back mind never could get unless fed know skinned knee skid mark past place used learn howl listen listen wait echo angel return everything want everything need everything inside wish could say right thing exactly right time mean nothing know waiting someone put together waiting someone push away always another wound discover always something wish say might also like everything want everything need everything inside wish could say right thing exactly right time mean nothing know sit tight watch unwind asking fine time waiting island highway past place might turned never notice still hide away anger angel return everything want everything need everything inside wish could say right thing exactly right time mean nothing know everything want everything need everything inside wish could say right thing exactly right time mean nothing know know know 
"""Say My Name""",darkchild say name say name one around say baby love runnin game say name say name actin kinda shady callin baby sudden change say name say name one around say baby love runnin game say name say name actin kinda shady callin baby better say name day would call would say say baby day today every word huh huh yeah okay okay could crib another lady another lady took first let say say one sit around played prove girl claim claim say thing said yesterday yesterday might also like know say assuming thing something goin way seems reason actin strange nobody holding back cause know usually sayin everything time two tell truth somebody tell say name say name say name around one around say baby love love runnin game say name say name say name say name actin kinda shady callin baby baby hey yeah sudden change say name say name one around yeah yeah yeah say baby love runnin game say name say name actin kinda shady callin baby better say name tell truth would like came clique try change sayin got bounce bounce two second ago said got house house hard believe home heard voice heard voice someone else question feel feel got lie lie gettin caught game say name say say name know say assuming thing something goin way seems reason actin strange nobody holding back cause know usually sayin everything time two tell truth somebody tell say name say name say name one around say baby love love runnin game say name say name say name say name actin kinda shady say name callin baby sudden change sudden change say name say name say name one around nothin changed say baby love runnin game baby say name say name say name actin kinda shady ooh whoa yeah callin baby better say name lady yeah yeah yeah yeah yeah say mon yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah girl say yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah break ooh whoa whoa take bridge mon know say assuming thing something goin way seems reason actin strange nobody holding back cause know usually sayin everything time two tell truth somebody tell say name say name one around one around say baby love runnin game call boo say name say name actin kinda shady tell like whoa callin baby sudden change say name say name one around say baby love runnin game say name say name actin kinda shady shady callin baby baby better say name say name say name one around say baby love say baby love runnin game say name say name say name actin kinda shady say name callin baby sudden change yeah yeah yeah yeah say name say name yeah yeah yeah yeah one around yeah yeah yeah yeah say baby love yeah yeah yeah yeah yeah yeah yeah yeah runnin game yeah yeah yeah yeah say name say name yeah yeah yeah yeah actin kinda shady yeah yeah yeah yeah callin baby yeah yeah yeah yeah yeah yeah yeah yeah better say name thou shalt know love 
"""I Knew I Loved You""",mmm ooh maybe intuition thing question like eye see future instant go think found best friend know might sound little crazy believe knew loved met think dreamed life knew loved met waiting life rhyme reason sense completion eye see missing piece searching think found way home might also like know might sound little crazy believe knew loved met think dreamed life knew loved met waiting life ooh ooh ooh thousand angel dance around ooh ooh ooh complete found knew loved met think dreamed life knew loved met waiting life knew loved met think dreamed life knew loved met waiting life knew loved met ooh ooh ooh ooh knew loved knew loved met ooh ooh ooh ooh knew loved knew loved met knew loved met yeah yeah knew loved 
"""Amazed""",every time eye meet feeling inside almost take baby touch feel much love blow away never close anyone anything hear thought see dream know love keep getting better want spend rest life side forever ever every little thing baby amazed smell skin taste kiss way whisper dark hair around baby surround touch every place heart might also like feel like first time every time want spend whole night eye know love keep getting better want spend rest life side forever ever every little thing baby amazed every little thing love keep getting better wan spend rest life side forever ever every little thing every little thing every little thing baby amazed 
"""Bent""",fall along way pick dust get tired make breath walk need love give stand smile get old faded wait around smile complicated hold hold help bent scared never get put back together keep breaking end bent sleep could sleep could paint better could sympathize need know think need lot might also like started clean jaded phoning breaking skin help bent scared never get put back together keep breaking end bent start bending never enough till feel piece start bending keep bending completely broken complicated touch touch help bent scared never get put back together keep breaking end landin without understanding hell help bent scared never get put back together yeah breaking end bent 
"""He Wasn't Man Enough""",darkchild whoa yeah yeah toni braxton whoa yeah huh yeah darkchild yeah listen girl think know man chose let act like still care care lookin like hurt one said want work forget first thinkin yeah yeah yeah stop blamin man enough know chance already man wonder yeah worried yeah time know truth think man yeah might also like thinkin yeah know back know know dumped husband ooh wee girlfriend girlfriend thinkin bout married know made leave made say bye bye know begged stay man enough listen girl tell truth ask maybe instead worryin hopefully find reason love count work thinkin stop blamin ooh yeah man enough yeah know chance see already man yeah wonder yeah worried yeah time know truth think man thinkin yeah yeah know back know know dumped husband know girlfriend yeah thinkin bout married yeah know made leave really know know begged stay know begged beggin stay man enough thinkin yeah know back ooh yeah yeah yeah know dumped husband know dumped husband girlfriend thinkin bout married yeah know made leave yes yeah know begged stay really know man enough yeah many reason love yeah make think good make sense cause never change girl better recognize game yeah thinkin know back know dumped husband husband girlfriend girlfriend thinkin bout married fool know made leave fool baby know begged stay baby man enough said used follow thinkin yeah know back callin night long know dumped husband beggin stay girlfriend yes thinkin bout got married ooh babe know made leave ooh baby know begged stay man enough thinkin know back know dumped husband girlfriend yeah thinkin bout married callin phone know made leave askin come back home know begged stay beggin could stay man enough 
