,Lyrics
"""Tik Tok""",wake morning feelin like diddy hey girl grab glass door gon hit city let leave brush teeth bottle jack cause leave night coming back talkin pedicure toe toe tryin clothes clothes boy blowin phone phone drop toppin playin favorite cd pullin party tryna get little bit tipsy stop make pop blow speaker tonight fight til see sunlight tick tock clock party stop woah woah woah woah stop make pop blow speaker tonight fight til see sunlight tick tock clock party stop woah woah woah woah got care world got plenty beer got money pocket already dude linin cause hear got swagger kick curb unless look like mick jagger might also like talkin bout everybody gettin crunk crunk boy try touch junk junk gon smack gettin drunk drunk kick police shut police shut shut stop make pop blow speaker tonight fight til see sunlight tick tock clock party stop woah woah woah woah stop make pop blow speaker tonight fight til see sunlight tick tock clock party stop woah woah woah woah build break heart pound yeah got hand got got sound yeah got build break heart pound yeah got hand put hand put hand party start til walk stop make pop blow speaker tonight fight til see sunlight tick tock clock party stop woah woah woah woah stop make pop blow speaker tonight fight til see sunlight tick tock clock party stop woah woah woah woah 
"""Need You Now""",hey sorry missed call leave message beep hey yeah thinking everything tonight know miss much give call back picture perfect memory scattered around floor reachin phone cause fight anymore wonder ever cross mind happens time quarter one alone need said call lost control need know without need another shot whiskey stop lookin door wishing come sweeping way might also like wonder ever cross mind happens time quarter one little drunk need said call lost control need know without need whoa guess rather hurt feel nothin quarter one alone need said call little drunk need know without need need baby need 
"""Hey, Soul Sister""",hey hey hey lipstick stain front lobe left side brain knew forget went let blow mind sweet moonbeam smell every single dream dream knew collided one decided one kind hey soul sister mister radio stereo way move fair know hey soul sister want miss single thing tonight hey hey hey might also like time glad one track mind like gave life direction game show love connection deny obsessed heart bound beat right untrimmed chest believe like virgin madonna always gon wan blow mind hey soul sister mister radio stereo way move fair know hey soul sister want miss single thing tonight way cut rug watching drug need gangster thug one dreaming see finally fact nothing want world see hey soul sister mister radio stereo way move fair know hey soul sister want miss single thing tonight hey soul sister want miss single thing tonight hey hey hey tonight hey hey hey tonight 
"""California Gurls""",saludos queridos vamos hacer viaje conozco lugar donde pasto realmente verde caliente medo salvaje debe haber algo agua sorbiendo ginebra zumo tumbadas bajo palmeras deshecha los chico rompen cuello intentando pegarnos peque vistazo nosotras puedes viajar por mundo pero nada acerca costa dorada una vez que vayas fiesta con nosotras estar enamorando chicas california somos inolvidables pantalones muy cortos bikini una piel besada por sol tan caliente derretiremos paleta chicas california somos indiscutibles atractivas descaradas feroces eso tenemos por norma representantes costa oeste ahora levanta mano might also like sexo sexo playa no importa arena nuestros tacones no volvemos locas jeep snoop doggy dogg est reo puedes viajar por mundo puedes viajar por mundo pero nada acerca costa dorada una vez que vayas fiesta con nosotras una vez que vayas fiesta con nosotras estar enamorando chicas california somos inolvidables california pantalones muy cortos bikini una piel besada por sol tan caliente derretiremos paleta chicas california california somos indiscutibles atractivas descaradas feroces eso tenemos por norma representantes costa oeste costa oeste ahora levanta mano tono moreno forma listo sube volumen porque est poniendo duro salvaje salvaje costa oeste estas son la chicas que quiero quiero decir la nicas quiero decir ella nica besarla acariciarla pellizcarla trasero chica fen meno conduce jeep vive playa estoy bien jugar encanta bah tanto como gusta los angeles venice beach palm spring verano todo los pandilleros mont ndoselo todo ese trasero pasando rato bikini calabacines martini nada salchichas solo rey reina katy os hey mira aqu nena huh estoy acosando porque representas california chicas california somos inolvidables california pantalones muy cortos bikini una piel besada por sol tan caliente derretiremos paleta vamos vamos chicas california california somos indiscutibles atractivas descaradas feroces eso tenemos por norma representantes costa oeste costa oeste costa oeste ahora levanta mano california chicas california chicas california hombre california hahahaha chicas california verdad que desear que toda pudieran ser chicas california 
"""OMG""",gosh baby let gon let beat rock baby let love many way love baby break many way love got like gosh love found finally make want say gosh make want say fell love shawty seen dance floor dancing sexy pop pop popping dropping dropping low never ever lady hit first sight something special like dynamite honey got booty like pow pow pow honey got booby like wow wow girl know loving loving style check check check check check checking like might also like got sexy head toe want baby let love many way love baby break many way love got like gosh love found finally make want say gosh make want say make want say feel hot honey girl club one got whipped one look yep fell love one something special one like dynamite sight fell love honey like honey looking wonderful fly fly honey like supermodel baby make grown man cry baby got sexy head toe want honey let love many way love baby break many way love got like gosh love found finally make want say gosh gosh gosh gosh gon let beat rock gosh gosh gosh 
"""Airplanes""",pretend airplane night sky like shooting star could really use wish right wish right wish right pretend airplane night sky like shooting star could really use wish right wish right wish right never good day cause hood let pump stray kid play homies dyin fore get see birthday worst day sometimes hurt pray every halloween check murder scene help duplicate violence seen screen even god turned back ghetto youth know truth sometimes look proof wonder heaven got ghetto matter blood cuz remember facin thangs thug go still rise keep head even though pain heart hopeless start keep head make mind strong struggle every day dear lord hear might also like pretend airplane night sky like shooting star could really use wish right wish right wish right pretend airplane night sky like shooting star could really use wish right wish right wish right place spend quiet night time unwind much pressure life mine cry time contemplated suicide would tried held could see mama eye picture inside misery poverty man alive ever witnessed struggle survived one know struggle see trouble knowin hard carry one love prayin hard better day promise hold dawgs choice roll found family spot kick drink liquor one bicker trick shit spot smoke peace even though still visualize place roll peace mind eye see place player fast got spot ball thug mansion pretend airplane night sky like shooting star could really use wish right wish right wish right pretend airplane night sky like shooting star could really use wish right wish right wish right seems like yesterday dream day gone memory seems like yesterday dream day gone let pretend marshall mathers never picked pen let pretend thing would different pretend procrastinated motivation pretend made excuse paper thin could blow away wind marshall never gon make make sense play game way win pretend stayed outside day played friend pretend even friend say friend time move school changin socially awkward strange kid father mother crazy shit never dreamed could rip stadium lazy shit fuck talent show gymnasium bitch amount shit quit daydreamin kid need get cranium checked thinking like alien realistic pretend make angry shit one could even aim pissed alarm went wake make rap olympics slept plane missed gon hard time explaining hailie lainey food stamp wic shit cause never risked shit hoped wished fall lap even pretend airplane night sky like shooting star could really use wish right wish right wish right pretend airplane night sky like shooting star could really use wish right wish right wish right 
"""Love the Way You Lie""",gon stand watch burn well right like way hurt gon stand hear cry well right love way lie love way lie tell really tell feel like right steel knife windpipe breathe still fight fight long wrong feel right like flight high love drunk hate like huffin paint love suffer suffocate right drown resuscitates fuckin hate love wait going leaving come back runnin right back insane cause goin good goin great superman wind back lois lane bad awful feel ashamed snapped dude even know name laid hand never stoop low guess know strength gon stand watch burn well right like way hurt gon stand hear cry well right love way lie love way lie love way lie might also like ever love somebody much barely breathe meet neither one even know hit got warm fuzzy feelin yeah chill used get gettin fuckin sick lookin swore never hit never nothin hurt face spewin venom word spit push pull hair scratch claw bit throw pin lost moment rage took control say best separate way guess know cause today yesterday yesterday different day sound like broken record playin promised next time show restraint get another chance life nintendo game lied get watch leave window guess call window pane gon stand watch burn well right like way hurt gon stand hear cry well right love way lie love way lie love way lie know said thing thing mean fall back pattern routine temper bad mine come love blinded baby please come back baby maybe relationship crazy seems maybe happens tornado meet volcano know love much walk away though come inside pick bag sidewalk hear sincerity voice talk told fault look eyeball next time pissed aim fist drywall next time next time apologize even though know lie tired game want back know liar ever try fuckin leave tie bed set house fire gon gon stand watch burn well right like way hurt gon stand hear cry well right love way lie love way lie love way lie 
"""Bad Romance""",caught bad romance caught bad romance rom rom gaga ooh want bad romance rom rom gaga ooh want bad romance want ugly want disease want everything long free want love love love love want love want drama touch hand hey want leather studded kiss sand want love love love love want love love love love want love might also like know want know need want bad bad romance want love want revenge could write bad romance want love lover revenge could write bad romance caught bad romance caught bad romance rom rom gaga ooh want bad romance want horror want design cause criminal long mine want love love love love want love want psycho vertigo schtick hey want rear window baby sick want love love love love want love love love love want love know want know need cause free bitch baby want bad bad romance want love want revenge could write bad romance want love lover revenge could write bad romance caught bad romance caught bad romance rom rom gaga ooh want bad romance rom rom gaga ooh want bad romance walk walk fashion baby work move bitch crazy walk walk fashion baby work move bitch crazy walk walk fashion baby work move bitch crazy walk walk passion baby work free bitch baby want love want revenge want love wan friend veux ton amour veux revanche veux ton amour wan friend want bad romance want bad romance wan friend want bad romance caught bad romance want bad romance wan friend want bad romance want bad romance want bad romance want bad romance caught bad romance want bad romance want love want revenge could write bad romance want love lover revenge could write bad romance want bad romance caught bad romance want bad romance want bad romance caught bad romance rom rom gaga ooh want bad romance 
"""Dynamite""",came dance dance dance dance yeah hit floor cause plan plan plan plan yeah wearing favorite brand brand brand brand yeah give space hand hand hand hand yeah yeah cause go go yeah throw hand air sometimes sayin ayo got let wan celebrate live life sayin ayo baby let cause gon rock club gon night gon light like dynamite cause told told twice gon light like dynamite might also like came move move move move yeah get way crew crew crew crew yeah club gon yeah fuck came yeah yeah yeah cause go go yeah throw hand air sometimes sayin ayo got let wan celebrate live life sayin ayo baby let cause gon rock club gon night gon light like dynamite cause told told twice gon light like dynamite gon take gon last one standing higher overall gon last one landing cause believe want want gon put hand air hand hand air put hand air throw hand air sometimes sayin ayo got let wan celebrate live life sayin ayo baby let cause gon rock club gon night gon light like dynamite cause told told twice gon light like dynamite 
"""Break Your Heart""",luda may worst best got respect honesty may break heart really think anybody bomb take chance end everybody gon wonderin deal might say ludacris taio cruz tell feel listen baby love leave call heartbreaker wan deceive fall easy please might tear apart told start baby start gon break break break break heart gon break break break break heart gon break break break break heart gon break break break break heart might also like woah woah point tryna hide point tryna evade know got problem problem misbehavin fall easy please might tear apart told start baby start gon break break break break heart gon break break break break heart gon break break break break heart gon break break break break heart gon woman listen gon break heart shatter splatter little itty bitty piece whether get together finder keeper loser weeper see tryin lead tryin keep real might say ludacris taio cruz tell feel ayy know karma gon get back cold ayy like big bad wolf born bad bad bone ayy fall gon tear apart ayy told start ayy gon break break break break heart gon break break break break heart gon break break break break heart gon break break break break heart woah woah woah woah 
